,left_ax
24638,0.85243666
24639,0.83771795
24640,0.82367426
24641,0.80598444
24642,0.7796958
24643,0.78337866
24644,0.9337643
24645,1.0260596
24646,0.95850044
24647,0.9808083
24648,0.33349797
24649,0.79549766
24650,1.4686108
24651,1.201917
24652,-0.69340974
24653,0.107386015
24654,0.20201248
24655,-0.030007359
24656,-0.20045708
24657,-0.022051059
24658,0.50690895
24659,-0.5155871
24660,-0.40200338
24661,-0.51129466
24662,-1.429908
24663,-2.3557065
24664,0.4450826
24665,0.14028417
24666,-0.3132653
24667,-0.5385951
24668,-0.70445293
24669,-0.8472923000000001
24670,-0.70159584
24671,-0.19562985
24672,0.3924116
24673,0.83836824
24674,1.0403569
24675,1.1570628
24676,0.875382
24677,0.3455917
24678,-0.13032418
24679,-0.40184975
24680,-0.46641636
24681,-0.30419764
24682,-0.059143562
24683,0.2515444
24684,0.49930894
24685,0.5644928000000001
24686,0.39562175
24687,0.26161128
24688,0.2580669
24689,0.24696034
24690,0.19649404
24691,0.12759799
24692,0.08976037
24693,0.1025514
24694,0.041452494
24695,0.0051866486
24696,0.010716115
24697,0.013933371
24698,-0.03073679
24699,-0.09010071
24700,-0.12101406
24701,-0.13951834
24702,-0.15976126
24703,-0.1827279
24704,-0.19399749
24705,-0.16626655
24706,-0.13806918
24707,-0.1403708
24708,-0.17806874
24709,-0.21228
24710,-0.25574747
24711,-0.29857743
24712,-0.3046777
24713,-0.2818498
24714,-0.25538972
24715,-0.22721936
24716,-0.18545856
24717,-0.15650994
24718,-0.1395731
24719,-0.13876645
24720,-0.15831812
24721,-0.15509823
24722,-0.16631714
24723,-0.16306809
24724,-0.156648
24725,-0.1508157
24726,-0.12745266
24727,-0.1503938
24728,-0.22009923
24729,-0.32861048
24730,-0.43722653
24731,-0.4644015
24732,-0.24585195
24733,0.098212466
24734,0.29652348
24735,0.17207478
24736,-0.1348853
24737,-0.3103477
24738,-0.30149323
24739,-0.1600741
24740,-0.09078922
24741,-0.117787756
24742,-0.18904753
24743,-0.20143303
24744,-0.081894875
24745,-0.07527369
24746,-0.09157297
24747,-0.10648395
24748,-0.122585416
24749,-0.15478425
24750,-0.13133778
24751,-0.11124452
24752,-0.13421226
24753,-0.16242199
24754,-0.14027269
24755,-0.12055135
24756,-0.07216249
24757,-0.036648836
24758,-0.0004275152
24759,0.031991534
24760,0.032715783
24761,-0.032084364
24762,-0.051406305
24763,-0.041506015
24764,-0.02839961
24765,0.0036829773
24766,0.13728784
24767,0.11112965
24768,0.11619897
24769,0.09384407
24770,0.029247338
24771,-0.073541135
24772,-0.2228632
24773,-0.27813393
24774,-0.2851026
24775,-0.23862427
24776,-0.13194104
24777,0.011985801
24778,-0.01940404
24779,0.014564994
24780,0.16223553
24781,0.20186514
24782,0.050851837
24783,-0.10772683
24784,0.013031537
24785,-0.011664915
24786,-0.2597161
24787,-0.42451897
24788,-0.28283194
24789,-0.1463894
24790,-0.45104146
24791,-0.46346173
24792,-0.3428382
24793,-0.35413164
24794,-0.64132625
24795,-0.6147656
24796,-0.48977876
24797,-0.5255244000000001
24798,-0.5894491999999999
24799,-0.610667
24800,-0.63831556
24801,-0.5916223
24802,-0.6007031999999999
24803,-0.59473276
24804,-0.5602397
24805,-0.4981734
24806,-0.406016
24807,-0.44186795
24808,-0.17887242
24809,-0.14067087
24810,-0.2707602
24811,-0.22036904
24812,-0.16459806
24813,-0.11056489
24814,-0.091226116
24815,-0.12225701
24816,-0.19619957
24817,-0.2694986
24818,-0.30045885
24819,-0.32346383
24820,-0.37032357
24821,-0.45063746
24822,-0.5537814999999999
24823,-0.656557
24824,-0.7400359999999999
24825,-0.8084096
24826,-0.8621073
24827,-0.9014745
24828,-0.92736816
24829,-0.9438027
24830,-0.96291393
24831,-0.9776526
24832,-0.985939
24833,-0.991616
24834,-0.991616
24835,-0.98274344
24836,-0.97509396
24837,-0.9674245
24838,-0.9570475
24839,-0.9510722
24840,-0.94472826
24841,-0.9375173
24842,-0.92938083
24843,-0.919024
24844,-0.9038463
24845,-0.88711333
24846,-0.87197596
24847,-0.8583829
24848,-0.8475865
24849,-0.83991706
24850,-0.82876307
24851,-0.8186857
24852,-0.80065936
24853,-0.7810778
24854,-0.7630022
24855,-0.740296
24856,-0.71413445
24857,-0.6863881
24858,-0.6635389
24859,-0.6428725000000001
24860,-0.6189446999999999
24861,-0.5939906
24862,-0.56337726
24863,-0.52509445
24864,-0.47805923
24865,-0.42629808
24866,-0.37735775
24867,-0.3342973
24868,-0.2958094
24869,-0.26437318
24870,-0.24362734
24871,-0.23606583
24872,-0.24201208
24873,-0.26012585
24874,-0.2939325
24875,-0.3340147999999999
24876,-0.37634286
24877,-0.41913065
24878,-0.46058133
24879,-0.5004826
24880,-0.5391244000000001
24881,-0.57649696
24882,-0.61298764
24883,-0.64925236
24884,-0.68588245
24885,-0.7141772
24886,-0.72853845
24887,-0.7367988
24888,-0.7418906999999999
24889,-0.7387111
24890,-0.73629653
24891,-0.7328706
24892,-0.7242172
24893,-0.71354127
24894,-0.7051703
24895,-0.70034057
24896,-0.69233125
24897,-0.6852166999999999
24898,-0.67746943
24899,-0.666624
24900,-0.65199333
24901,-0.6415276
24902,-0.62845814
24903,-0.6194788
24904,-0.6132399000000001
24905,-0.6093961999999999
24906,-0.6087220999999999
24907,-0.60469776
24908,-0.6072683000000001
24909,-0.61062914
24910,-0.61367255
24911,-0.6173043
24912,-0.6238104
24913,-0.6354825
24914,-0.6394258
24915,-0.64593023
